date;time;log_level;class;thread;message
2019-12-24;16:02:33,471;INFO;org.springframework.boot.StartupInfoLogger;[main];Starting SareetaApplication on LAPTOP-71AU3NLE with PID 17484 (started by MD in C:\Users\MD\Desktop\desktop\Udacity\Java\spring-boot\P4\JDND-master\projects\P04-eCommerce Application\starter_code)
2019-12-24;16:02:33,474;DEBUG;org.springframework.boot.StartupInfoLogger;[main];Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-12-24;16:02:33,477;INFO;org.springframework.boot.SpringApplication;[main];No active profile set, falling back to default profiles: default
2019-12-24;16:02:34,125;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-24;16:02:34,219;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Finished Spring Data repository scanning in 68ms. Found 4 repository interfaces.
2019-12-24;16:02:34,795;INFO;org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker;[main];Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$932a1f90] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-24;16:02:35,281;INFO;org.springframework.boot.web.embedded.tomcat.TomcatWebServer;[main];Tomcat initialized with port(s): 8080 (http)
2019-12-24;16:02:35,302;INFO;org.apache.juli.logging.DirectJDKLog;[main];Initializing ProtocolHandler ["http-nio-8080"]
2019-12-24;16:02:35,323;INFO;org.apache.juli.logging.DirectJDKLog;[main];Starting service [Tomcat]
2019-12-24;16:02:35,325;INFO;org.apache.juli.logging.DirectJDKLog;[main];Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-12-24;16:02:35,439;INFO;org.apache.juli.logging.DirectJDKLog;[main];Initializing Spring embedded WebApplicationContext
2019-12-24;16:02:35,441;INFO;org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext;[main];Root WebApplicationContext: initialization completed in 1895 ms
2019-12-24;16:02:35,656;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Starting...
2019-12-24;16:02:35,853;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Start completed.
2019-12-24;16:02:35,929;INFO;org.hibernate.jpa.internal.util.LogHelper;[main];HHH000204: Processing PersistenceUnitInfo [name: default...]
2019-12-24;16:02:36,018;INFO;org.hibernate.Version;[main];HHH000412: Hibernate Core {5.3.10.Final}
2019-12-24;16:02:36,021;INFO;org.hibernate.cfg.Environment;[main];HHH000206: hibernate.properties not found
2019-12-24;16:02:36,169;INFO;org.hibernate.annotations.common.reflection.java.JavaReflectionManager;[main];HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-12-24;16:02:36,328;INFO;org.hibernate.dialect.Dialect;[main];HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-12-24;16:02:37,281;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean;[main];Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:02:38,148;WARN;org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration;[main];spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-12-24;16:02:38,274;INFO;org.springframework.security.web.DefaultSecurityFilterChain;[main];Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@272d1dca, org.springframework.security.web.context.SecurityContextPersistenceFilter@735a89d9, org.springframework.security.web.header.HeaderWriterFilter@6a3bd8de, org.springframework.web.filter.CorsFilter@4fe44178, org.springframework.security.web.authentication.logout.LogoutFilter@fba06ea, com.example.demo.security.JWTAuthenticationFilter@35537845, com.example.demo.security.JWTAuthenticationVerificationFilter@366b0d7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@8070d43, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@73328adc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4cea3e3c, org.springframework.security.web.session.SessionManagementFilter@1a702099, org.springframework.security.web.access.ExceptionTranslationFilter@43b430a6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4706d191]
2019-12-24;16:02:38,490;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport;[main];Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24;16:02:38,743;INFO;org.apache.juli.logging.DirectJDKLog;[main];Starting ProtocolHandler ["http-nio-8080"]
2019-12-24;16:02:38,779;INFO;org.springframework.boot.web.embedded.tomcat.TomcatWebServer;[main];Tomcat started on port(s): 8080 (http) with context path ''
2019-12-24;16:02:38,786;INFO;org.springframework.boot.StartupInfoLogger;[main];Started SareetaApplication in 5.871 seconds (JVM running for 9.529)
2019-12-24;16:03:07,834;INFO;org.apache.juli.logging.DirectJDKLog;[http-nio-8080-exec-1];Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-24;16:03:07,837;INFO;org.springframework.web.servlet.FrameworkServlet;[http-nio-8080-exec-1];Initializing Servlet 'dispatcherServlet'
2019-12-24;16:03:07,861;INFO;org.springframework.web.servlet.FrameworkServlet;[http-nio-8080-exec-1];Completed initialization in 22 ms
2019-12-24;16:03:08,037;INFO;com.example.demo.controllers.UserController;[http-nio-8080-exec-1];User name set with Monica
2019-12-24;16:03:08,139;INFO;com.example.demo.controllers.UserController;[http-nio-8080-exec-1];Cart object saved into the H2 database.
2019-12-24;16:03:08,142;ERROR;com.example.demo.controllers.UserController [http-nio-8080-exec-1];ERROR;with the entered passoword. Cannot create user Monica
2019-12-24;16:03:18,102;INFO;com.example.demo.controllers.UserController;[http-nio-8080-exec-4];User name set with Monica
